behave_index,user_id,nDCG - baseline,nDCG - tfidf,nDCG%5 - baseline,nDCG%5 - tfidf,nDCG%10 - baseline,nDCG%10 - tfidf
22,U10213,0.30838501587648703,0.30838501587648703,0.02019205994936317,0.02019205994936317,0.059589249357205124,0.059589249357205124
23,U10229,0.30883699693326616,0.30883699693326616,0.09278376756568532,0.09278376756568532,0.16874092086134976,0.16874092086134976
24,U10233,0.3070307297246825,0.44562458377974595,0.0,0.19999999999999998,0.022923496516055023,0.218338797212844
25,U10234,0.3937288153431494,1.0,0.21649545765326575,1.0,0.3937288153431494,1.0
26,U10276,1.0,0.5654648767857287,1.0,0.5654648767857287,1.0,0.5654648767857287
27,U1028,0.6079592549415294,0.4119388824122941,0.3812894757130708,0.07193421356960629,0.47485780055669546,0.21228670083504328
28,U10280,0.3547190767702926,0.3547190767702926,0.14988147068303015,0.14988147068303015,0.27258148754525735,0.27258148754525735
29,U10285,0.21350891288788895,0.21350891288788895,0.02466403947948597,0.02466403947948597,0.044855181494789176,0.044855181494789176
30,U10297,0.2285636037605729,0.2285636037605729,0.013029668253622843,0.013029668253622843,0.02880436537600247,0.02880436537600247
31,U103,0.23310431957212532,0.23310431957212532,0.014172621609203795,0.014172621609203795,0.03133106409319567,0.03133106409319567
32,U10306,0.3697628766310642,0.3697628766310642,0.04426720835052695,0.04426720835052695,0.13063796974464204,0.13063796974464204
33,U10311,0.3132256103070543,0.3132256103070543,0.0974229559439696,0.0974229559439696,0.17717796690441726,0.17717796690441726
34,U10318,0.5654648767857287,0.5654648767857287,0.5654648767857287,0.5654648767857287,0.5654648767857287,0.5654648767857287
35,U10338,0.23296161682688793,0.23296161682688793,0.03418349331367354,0.03418349331367354,0.06216770768576044,0.06216770768576044
36,U10354,0.30883699693326616,0.30883699693326616,0.09278376756568532,0.09278376756568532,0.16874092086134976,0.16874092086134976
37,U10358,0.3268984231483498,0.3268984231483498,0.05571306425687009,0.05571306425687009,0.12316349333187264,0.12316349333187264
38,U10361,0.31790886220650055,0.31790886220650055,0.10255047994102062,0.10255047994102062,0.1865031230572813,0.1865031230572813
39,U10378,0.23557960580500165,0.23557960580500165,0.014822741866506721,0.014822741866506721,0.032768268868112904,0.032768268868112904
40,U10389,0.48711477971984796,0.48711477971984796,0.48711477971984796,0.48711477971984796,0.48711477971984796,0.48711477971984796
