,loss,epoch,batch,running_loss,acc
0,0.6925022602081299,0,60,"tensor(0.6925, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6955442428588867,0,61,"tensor(0.6955, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4062, device='cuda:0')"
0,0.6942794322967529,0,62,"tensor(0.6943, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6917843818664551,0,63,"tensor(0.6918, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6939358711242676,0,64,"tensor(0.6939, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, device='cuda:0')"
0,0.6939443349838257,0,65,"tensor(0.6939, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, device='cuda:0')"
0,0.6933602094650269,0,66,"tensor(0.6934, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6946886777877808,0,67,"tensor(0.6947, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6909235119819641,0,68,"tensor(0.6909, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6888444423675537,0,69,"tensor(0.6888, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6094, device='cuda:0')"
0,0.6926562190055847,0,70,"tensor(0.6927, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6992006301879883,0,71,"tensor(0.6992, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.3906, device='cuda:0')"
0,0.693470299243927,0,72,"tensor(0.6935, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6973780393600464,0,73,"tensor(0.6974, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4219, device='cuda:0')"
0,0.6968953609466553,0,74,"tensor(0.6969, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4219, device='cuda:0')"
0,0.6927303075790405,0,75,"tensor(0.6927, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6900526881217957,0,76,"tensor(0.6901, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6094, device='cuda:0')"
0,0.694089412689209,0,77,"tensor(0.6941, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6943131685256958,0,78,"tensor(0.6943, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6920335292816162,0,79,"tensor(0.6920, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6946918964385986,0,80,"tensor(0.6947, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4062, device='cuda:0')"
0,0.6931678056716919,0,81,"tensor(0.6932, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6928939819335938,0,82,"tensor(0.6929, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6930882334709167,0,83,"tensor(0.6931, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6931194067001343,0,84,"tensor(0.6931, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6931178569793701,0,85,"tensor(0.6931, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6932251453399658,0,86,"tensor(0.6932, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6930941939353943,0,87,"tensor(0.6931, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.69263756275177,0,88,"tensor(0.6926, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6094, device='cuda:0')"
0,0.6925489902496338,0,89,"tensor(0.6925, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6936940550804138,0,90,"tensor(0.6937, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6938663721084595,0,91,"tensor(0.6939, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6920715570449829,0,92,"tensor(0.6921, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6927845478057861,0,93,"tensor(0.6928, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6953491568565369,0,94,"tensor(0.6953, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4375, device='cuda:0')"
0,0.6911430358886719,0,95,"tensor(0.6911, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6932765245437622,0,96,"tensor(0.6933, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6933552026748657,0,97,"tensor(0.6934, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6907461881637573,0,98,"tensor(0.6907, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6955158710479736,0,99,"tensor(0.6955, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6955616474151611,1,0,"tensor(0.6956, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6912662386894226,1,1,"tensor(0.6913, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6947689652442932,1,2,"tensor(0.6948, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6953768730163574,1,3,"tensor(0.6954, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6871093511581421,1,4,"tensor(0.6871, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6562, device='cuda:0')"
0,0.692038357257843,1,5,"tensor(0.6920, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6933366060256958,1,6,"tensor(0.6933, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6934103965759277,1,7,"tensor(0.6934, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6980316638946533,1,8,"tensor(0.6980, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4062, device='cuda:0')"
0,0.6925430297851562,1,9,"tensor(0.6925, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
